Year,Country,Clean GW,Fossil GW,Gas and Other Fossil GW,"Hydro, Bioenergy and Other Renewables GW",Renewables GW,Wind and Solar GW,Bioenergy GW,Coal GW,Gas GW,Hydro GW,Nuclear GW,Other Fossil GW,Other Renewables GW,Solar GW,Wind GW,Demand TWh,Demand per capita MWh,Clean %,Fossil %,Gas and Other Fossil %,"Hydro, Bioenergy and Other Renewables %",Renewables %,Wind and Solar %,Clean TWh,Fossil TWh,Gas and Other Fossil TWh,"Hydro, Bioenergy and Other Renewables TWh",Renewables TWh,Wind and Solar TWh,Bioenergy %,Coal %,Gas %,Hydro %,Nuclear %,Other Fossil %,Other Renewables %,Solar %,Wind %,Bioenergy TWh,Coal TWh,Gas TWh,Hydro TWh,Nuclear TWh,Other Fossil TWh,Other Renewables TWh,Solar TWh,Wind TWh,Total Generation TWh,Net Imports TWh,Clean mtCO2,Fossil mtCO2,Gas and Other Fossil mtCO2,"Hydro, Bioenergy and Other Renewables mtCO2",Renewables mtCO2,Wind and Solar mtCO2,CO2 intensity gCO2/kWh,Bioenergy mtCO2,Coal mtCO2,Gas mtCO2,Hydro mtCO2,Nuclear mtCO2,Other Fossil mtCO2,Other Renewables mtCO2,Solar mtCO2,Wind mtCO2,Total emissions mtCO2,"GDP per capita,PPP"
2013,Slovakia,4.29,4.23,3.21,1.82,2.35,0.53,0.21,1.02,3.21,1.61,1.94,0,0,0.53,0,28.59,5.28,77.48,22.53,11.76,20.21,22.32,2.11,22.08,6.42,3.35,5.76,6.36,0.6,3.19,10.77,8.39,17.02,55.16,3.37,0,2.07,0.04,0.91,3.07,2.39,4.85,15.72,0.96,0,0.59,0.01,28.5,0.09,0.43,4.75,1.68,0.32,0.35,0.03,181.75,0.2,3.07,1.05,0.12,0.08,0.63,0,0.03,0,5.18,26722.01
2014,Slovakia,4.32,3.84,2.82,1.85,2.38,0.53,0.23,1.02,2.82,1.61,1.94,0,0.01,0.53,0,28.23,5.21,80.13,19.87,9.29,20.75,23,2.25,21.74,5.39,2.52,5.63,6.24,0.61,5.23,10.58,5.97,15.52,57.13,3.32,0,2.21,0.04,1.42,2.87,1.62,4.21,15.5,0.9,0,0.6,0.01,27.13,1.1,0.51,4.18,1.3,0.41,0.44,0.03,172.87,0.31,2.88,0.71,0.1,0.07,0.59,0,0.03,0,4.69,27416.135
2015,Slovakia,4.33,3.3,2.5,1.86,2.39,0.53,0.24,0.8,2.5,1.61,1.94,0,0.01,0.53,0,29.01,5.35,79.65,20.36,9.73,20.78,22.74,1.96,21.2,5.42,2.59,5.53,6.05,0.52,6.24,10.63,6.01,14.54,56.91,3.72,0,1.92,0.04,1.66,2.83,1.6,3.87,15.15,0.99,0,0.51,0.01,26.62,2.39,0.54,4.18,1.35,0.45,0.47,0.02,177.31,0.36,2.83,0.7,0.09,0.07,0.65,0,0.02,0,4.72,28805.387
2016,Slovakia,4.33,3.24,2.44,1.86,2.39,0.53,0.24,0.8,2.44,1.61,1.94,0,0.01,0.53,0,29.45,5.42,79.86,20.15,9.7,22.73,24.75,2.02,21.4,5.4,2.6,6.09,6.63,0.54,6.46,10.45,5.67,16.27,55.11,4.03,0,1.98,0.04,1.73,2.8,1.52,4.36,14.77,1.08,0,0.53,0.01,26.8,2.65,0.57,4.18,1.38,0.47,0.5,0.03,177.24,0.37,2.8,0.67,0.1,0.07,0.71,0,0.03,0,4.75,29327.516
2017,Slovakia,4.33,3.18,2.38,1.86,2.39,0.53,0.24,0.8,2.38,1.61,1.94,0,0.01,0.53,0,30.45,5.6,78.85,21.15,10.25,21.95,23.85,1.9,21.62,5.8,2.81,6.02,6.54,0.52,6.2,10.9,6.09,15.75,55,4.16,0,1.86,0.04,1.7,2.99,1.67,4.32,15.08,1.14,0,0.51,0.01,27.42,3.03,0.56,4.46,1.48,0.47,0.49,0.02,183.08,0.37,2.98,0.73,0.1,0.07,0.75,0,0.02,0,5.02,30142.367
2018,Slovakia,4.27,3.19,2.39,1.86,2.33,0.47,0.24,0.8,2.39,1.61,1.94,0,0.01,0.47,0,30.34,5.57,77.46,22.55,11.26,19.58,21.8,2.22,20.65,6.01,3,5.22,5.81,0.59,6.11,11.29,6.98,13.47,55.66,4.28,0,2.18,0.04,1.63,3.01,1.86,3.59,14.84,1.14,0,0.58,0.01,26.66,3.68,0.54,4.57,1.57,0.44,0.47,0.03,191.67,0.35,3,0.82,0.09,0.07,0.75,0,0.03,0,5.11,31313.82
2019,Slovakia,4.37,3.15,2.4,1.84,2.43,0.59,0.22,0.75,2.4,1.61,1.94,0,0.01,0.59,0,29.91,5.48,77.75,22.25,13.96,21.45,23.58,2.13,21.93,6.28,3.94,6.05,6.65,0.6,5.99,8.29,10.88,15.46,54.17,3.08,0,2.09,0.04,1.69,2.34,3.07,4.36,15.28,0.87,0,0.59,0.01,28.21,1.7,0.57,4.26,1.92,0.47,0.5,0.03,171.22,0.37,2.34,1.35,0.1,0.07,0.57,0,0.03,0,4.83,32056.78
2020,Slovakia,4.35,3.12,2.41,1.84,2.38,0.54,0.22,0.71,2.41,1.61,1.97,0,0.01,0.54,0,28.83,5.28,78.18,21.81,15.29,21.71,24.02,2.31,22.29,6.22,4.36,6.19,6.85,0.66,5.86,6.52,12.52,15.85,54.16,2.77,0,2.31,0,1.67,1.86,3.57,4.52,15.44,0.79,0,0.66,0,28.51,0.32,0.57,3.95,2.09,0.47,0.5,0.03,158.54,0.36,1.86,1.57,0.11,0.07,0.52,0,0.03,0,4.52,30960.959
2021,Slovakia,4.41,2.84,2.13,1.87,2.41,0.54,0.24,0.71,2.13,1.62,2,0,0.01,0.54,0,30.47,5.59,75.76,24.23,18.51,20.54,22.8,2.26,22.5,7.2,5.5,6.1,6.77,0.67,6.2,5.72,14.71,14.34,52.96,3.8,0,2.26,0,1.84,1.7,4.37,4.26,15.73,1.13,0,0.67,0,29.7,0.77,0.61,4.36,2.66,0.5,0.53,0.03,167.34,0.4,1.7,1.92,0.1,0.08,0.74,0,0.03,0,4.97,32512.695
2022,Slovakia,4.44,2.79,2.08,1.89,2.44,0.55,0.26,0.71,2.08,1.62,2,0,0.01,0.55,0,27.95,5.13,81.91,18.08,11.98,19.48,21.93,2.45,21.74,4.8,3.18,5.17,5.82,0.65,5.61,6.1,7.91,13.87,59.98,4.07,0,2.45,0,1.49,1.62,2.1,3.68,15.92,1.08,0,0.65,0,26.54,1.41,0.52,3.25,1.63,0.41,0.44,0.03,142.05,0.32,1.62,0.92,0.09,0.08,0.71,0,0.03,0,3.77,33176.184
2000,Lithuania,2.47,2.46,2.46,0.1,0.1,0,0,0,2.46,0.1,2.37,0,0,0,0,9.79,2.72,78.7,21.3,21.3,3.05,3.05,0,8.76,2.37,2.37,0.34,0.34,0,0,0,14.56,3.05,75.65,6.74,0,0,0,0,0,1.62,0.34,8.42,0.75,0,0,0,11.13,-1.34,0.05,1.1,1.1,0.01,0.01,0,103.32,0,0,0.61,0.01,0.04,0.49,0,0,0,1.15,13846.684
2001,Lithuania,2.47,2.46,2.46,0.1,0.1,0,0,0,2.46,0.1,2.37,0,0,0,0,10.4,2.92,81.41,18.59,18.59,2.3,2.3,0,11.69,2.67,2.67,0.33,0.33,0,0,0,13.09,2.3,79.11,5.5,0,0,0,0,0,1.88,0.33,11.36,0.79,0,0,0,14.36,-3.96,0.06,1.23,1.23,0.01,0.01,0,89.83,0,0,0.71,0.01,0.05,0.52,0,0,0,1.29,14872.379
2002,Lithuania,2.47,2.46,2.46,0.1,0.1,0,0,0,2.46,0.1,2.37,0,0,0,0,10.8,3.07,83.8,16.19,16.19,2.02,2.02,0,14.49,2.8,2.8,0.35,0.35,0,0,0,12.2,2.02,81.78,3.99,0,0,0,0,0,2.11,0.35,14.14,0.69,0,0,0,17.29,-6.49,0.08,1.25,1.25,0.01,0.01,0,76.92,0,0,0.8,0.01,0.07,0.45,0,0,0,1.33,16004.438
2003,Lithuania,2.48,2.46,2.46,0.11,0.11,0,0,0,2.46,0.11,2.37,0,0,0,0,11.29,3.25,84,15.99,15.99,1.75,1.75,0,15.81,3.01,3.01,0.33,0.33,0,0.05,0,13.39,1.7,82.25,2.6,0,0,0,0.01,0,2.52,0.32,15.48,0.49,0,0,0,18.82,-7.53,0.08,1.27,1.27,0.01,0.01,0,71.73,0,0,0.95,0.01,0.07,0.32,0,0,0,1.35,17839.783
2004,Lithuania,2.49,2.46,2.46,0.12,0.12,0,0.01,0,2.46,0.11,2.37,0,0,0,0,11.56,3.38,82.82,17.18,17.18,2.29,2.29,0,15.53,3.22,3.22,0.43,0.43,0,0.05,0,14.35,2.24,80.53,2.83,0,0,0,0.01,0,2.69,0.42,15.1,0.53,0,0,0,18.75,-7.19,0.08,1.37,1.37,0.01,0.01,0,77.33,0,0,1.02,0.01,0.07,0.35,0,0,0,1.45,19226.469
2005,Lithuania,1.31,2.46,2.46,0.13,0.13,0,0.01,0,2.46,0.12,1.18,0,0,0,0,11.45,3.39,74.9,25.1,25.1,3.19,3.19,0,10.8,3.62,3.62,0.46,0.46,0,0.07,0,20.94,3.12,71.71,4.16,0,0,0,0.01,0,3.02,0.45,10.34,0.6,0,0,0,14.42,-2.97,0.06,1.53,1.53,0.01,0.01,0,110.26,0,0,1.14,0.01,0.05,0.39,0,0,0,1.59,21053.186
2006,Lithuania,1.35,2.46,2.46,0.14,0.17,0.03,0.02,0,2.46,0.12,1.18,0,0,0,0.03,11.64,3.5,75.23,24.77,24.77,3.48,3.56,0.08,9.08,2.99,2.99,0.42,0.43,0.01,0.17,0,20.38,3.31,71.67,4.39,0,0,0.08,0.02,0,2.46,0.4,8.65,0.53,0,0,0.01,12.07,-0.43,0.05,1.28,1.28,0.01,0.01,0,110.19,0,0,0.93,0.01,0.04,0.35,0,0,0,1.33,22977.996
2007,Lithuania,1.37,2.46,2.46,0.14,0.19,0.05,0.02,0,2.46,0.12,1.18,0,0,0,0.05,12.09,3.7,77.34,22.66,22.66,3.49,4.31,0.82,10.41,3.05,3.05,0.47,0.58,0.11,0.37,0,17.83,3.12,73.03,4.83,0,0,0.82,0.05,0,2.4,0.42,9.83,0.65,0,0,0.11,13.46,-1.37,0.07,1.34,1.34,0.02,0.02,0,104.76,0.01,0,0.91,0.01,0.05,0.43,0,0,0,1.41,25835.367
2008,Lithuania,1.37,2.49,2.49,0.14,0.19,0.05,0.02,0,2.49,0.12,1.18,0,0,0,0.05,12.37,3.84,78.7,21.31,21.31,3.53,4.51,0.98,10.49,2.84,2.84,0.47,0.6,0.13,0.53,0,15.23,3,74.19,6.08,0,0,0.98,0.07,0,2.03,0.4,9.89,0.81,0,0,0.13,13.33,-0.96,0.08,1.3,1.3,0.03,0.03,0,103.53,0.02,0,0.77,0.01,0.05,0.53,0,0,0,1.38,26784.88
2009,Lithuania,1.42,2.51,2.51,0.14,0.24,0.1,0.02,0,2.51,0.12,1.18,0,0,0,0.1,11.71,3.68,78.75,21.24,21.24,3.55,4.64,1.09,11.53,3.11,3.11,0.52,0.68,0.16,0.68,0,14.34,2.87,74.11,6.9,0,0,1.09,0.1,0,2.1,0.42,10.85,1.01,0,0,0.16,14.64,-2.93,0.08,1.45,1.45,0.03,0.03,0,104.51,0.02,0,0.79,0.01,0.05,0.66,0,0,0,1.53,23065.062
2010,Lithuania,0.28,2.51,2.51,0.15,0.28,0.13,0.03,0,2.51,0.12,0,0,0,0,0.13,10.99,3.5,18.2,81.8,81.8,13.8,18.2,4.4,0.91,4.09,4.09,0.69,0.91,0.22,3,0,63.8,10.8,0,18,0,0,4.4,0.15,0,3.19,0.54,0,0.9,0,0,0.22,5,5.99,0.04,1.8,1.8,0.04,0.04,0,368,0.03,0,1.21,0.01,0,0.59,0,0,0,1.84,23942.76
2011,Lithuania,0.35,2.56,2.56,0.15,0.35,0.2,0.03,0,2.56,0.12,0,0,0,0,0.2,10.99,3.55,26.11,73.88,73.88,15.05,26.11,11.06,1.11,3.14,3.14,0.64,1.11,0.47,3.76,0,62.82,11.29,0,11.06,0,0,11.06,0.16,0,2.67,0.48,0,0.47,0,0,0.47,4.25,6.74,0.05,1.32,1.32,0.04,0.05,0.01,322.35,0.03,0,1.01,0.01,0,0.31,0,0,0.01,1.37,25968.584
2012,Lithuania,0.46,3,3,0.17,0.46,0.29,0.05,0,3,0.12,0,0,0,0.01,0.28,11.12,3.63,26.22,73.78,73.78,14.22,26.22,12,1.18,3.32,3.32,0.64,1.18,0.54,4.89,0,64,9.33,0,9.78,0,0,12,0.22,0,2.88,0.42,0,0.44,0,0,0.54,4.5,6.62,0.07,1.38,1.38,0.06,0.07,0.01,322.22,0.05,0,1.09,0.01,0,0.29,0,0,0.01,1.45,27330.896
2013,Lithuania,0.53,3,3,0.18,0.53,0.35,0.06,0,3,0.12,0,0,0,0.07,0.28,11.14,3.68,36.51,63.48,63.48,21,36.51,15.51,1.53,2.66,2.66,0.88,1.53,0.65,8.59,0,52.98,12.41,0,10.5,0,1.19,14.32,0.36,0,2.22,0.52,0,0.44,0,0.05,0.6,4.19,6.95,0.1,1.13,1.13,0.09,0.1,0.01,293.56,0.08,0,0.84,0.01,0,0.29,0,0,0.01,1.23,28589.027
2014,Lithuania,0.55,2.7,2.7,0.19,0.55,0.36,0.07,0,2.7,0.12,0,0,0,0.07,0.29,11.31,3.78,40.92,59.08,59.08,21.68,40.92,19.24,1.51,2.18,2.18,0.8,1.51,0.71,10.84,0,47.43,10.84,0,11.65,0,1.9,17.34,0.4,0,1.75,0.4,0,0.43,0,0.07,0.64,3.69,7.62,0.11,0.94,0.94,0.1,0.11,0.01,284.55,0.09,0,0.66,0.01,0,0.28,0,0,0.01,1.05,29855.832
2015,Lithuania,0.7,2.1,2.1,0.19,0.7,0.51,0.07,0,2.1,0.12,0,0,0,0.07,0.44,11.44,3.86,39.71,60.29,60.29,18.91,39.71,20.8,1.68,2.55,2.55,0.8,1.68,0.88,10.64,0,46.81,8.27,0,13.48,0,1.65,19.15,0.45,0,1.98,0.35,0,0.57,0,0.07,0.81,4.23,7.21,0.12,1.13,1.13,0.11,0.12,0.01,295.51,0.1,0,0.75,0.01,0,0.38,0,0,0.01,1.25,30748.197
2016,Lithuania,0.77,2.1,2.1,0.19,0.77,0.58,0.06,0,2.1,0.12,0,0,0.01,0.07,0.51,11.9,4.06,57.85,42.15,42.15,24.52,57.85,33.33,2.1,1.53,1.53,0.89,2.1,1.21,12.12,0,27.27,12.4,0,14.88,0,1.93,31.4,0.44,0,0.99,0.45,0,0.54,0,0.07,1.14,3.63,8.27,0.12,0.73,0.73,0.11,0.12,0.01,234.16,0.1,0,0.37,0.01,0,0.36,0,0,0.01,0.85,31925.803
2017,Lithuania,0.79,1.74,1.74,0.2,0.79,0.59,0.07,0,1.74,0.12,0,0,0.01,0.07,0.52,12.24,4.21,71.06,28.93,28.93,30.89,71.06,40.17,2.53,1.03,1.03,1.1,2.53,1.43,14.04,0,16.85,16.85,0,12.08,0,1.97,38.2,0.5,0,0.6,0.6,0,0.43,0,0.07,1.36,3.56,8.68,0.14,0.51,0.51,0.12,0.14,0.02,182.58,0.11,0,0.23,0.01,0,0.28,0,0,0.02,0.65,33761.87
2018,Lithuania,0.84,1.72,1.72,0.23,0.84,0.61,0.1,0,1.72,0.12,0,0,0.01,0.08,0.53,12.55,4.36,75.34,24.66,24.66,33.22,75.34,42.12,2.2,0.72,0.72,0.97,2.2,1.23,18.49,0,11.3,14.73,0,13.36,0,3.08,39.04,0.54,0,0.33,0.43,0,0.39,0,0.09,1.14,2.92,9.63,0.14,0.38,0.38,0.13,0.14,0.01,178.08,0.12,0,0.12,0.01,0,0.26,0,0,0.01,0.52,35446.707
2019,Lithuania,0.86,1.72,1.72,0.23,0.86,0.63,0.1,0,1.72,0.12,0,0,0.01,0.1,0.53,12.68,4.45,73.95,26.05,26.05,26.35,73.95,47.6,2.47,0.87,0.87,0.88,2.47,1.59,15.87,0,15.57,10.48,0,10.48,0,2.69,44.91,0.53,0,0.52,0.35,0,0.35,0,0.09,1.5,3.34,9.34,0.14,0.43,0.43,0.12,0.14,0.02,170.66,0.11,0,0.2,0.01,0,0.23,0,0,0.02,0.57,37198.875
2020,Lithuania,0.94,1.74,1.74,0.24,0.94,0.7,0.1,0,1.74,0.12,0,0,0.02,0.16,0.54,12.61,4.47,54.68,45.32,45.32,18.93,54.68,35.75,2.57,2.13,2.13,0.89,2.57,1.68,12.55,0,36.17,6.38,0,9.15,0,2.77,32.98,0.59,0,1.7,0.3,0,0.43,0,0.13,1.55,4.7,7.91,0.17,0.92,0.92,0.14,0.17,0.03,231.92,0.13,0,0.64,0.01,0,0.28,0,0.01,0.02,1.09,37179.766
2021,Lithuania,1.15,1.73,1.73,0.23,1.15,0.92,0.09,0,1.73,0.12,0,0,0.02,0.25,0.67,13.34,4.79,60.94,39.07,39.07,24.89,60.94,36.05,2.62,1.68,1.68,1.07,2.62,1.55,16.05,0,28.37,8.84,0,10.7,0,4.42,31.63,0.69,0,1.22,0.38,0,0.46,0,0.19,1.36,4.3,9.04,0.19,0.76,0.76,0.16,0.19,0.03,220.93,0.15,0,0.46,0.01,0,0.3,0,0.01,0.02,0.95,39432.402
2022,Lithuania,1.76,1.73,1.73,0.24,1.76,1.52,0.1,0,1.73,0.12,0,0,0.02,0.57,0.95,12.69,4.55,75.24,24.76,24.76,28.4,75.24,46.84,3.1,1.02,1.02,1.17,3.1,1.93,17.23,0,12.38,11.17,0,12.38,0,8.25,38.59,0.71,0,0.51,0.46,0,0.51,0,0.34,1.59,4.12,8.57,0.2,0.53,0.53,0.16,0.2,0.04,177.18,0.15,0,0.19,0.01,0,0.34,0,0.02,0.02,0.73,39955.246
2000,Denmark,2.65,6.15,1.1,0.26,2.65,2.39,0.13,5.05,0.45,0.01,0,0.65,0.12,0,2.39,36.51,6.84,15.54,84.46,37.96,3.71,15.54,11.83,5.57,30.28,13.61,1.33,5.57,4.24,3.63,46.5,24.46,0.08,0,13.5,0,0,11.83,1.3,16.67,8.77,0.03,0,4.84,0,0,4.24,35.85,0.66,0.33,22.18,6.47,0.28,0.33,0.05,627.89,0.28,15.71,3.29,0,0,3.18,0,0,0.05,22.51,48907.01
2001,Denmark,2.81,6.73,1.68,0.31,2.81,2.5,0.18,5.05,0.45,0.01,0,1.23,0.12,0,2.5,36.97,6.9,15.58,84.41,36.94,4.1,15.58,11.48,5.85,31.69,13.87,1.54,5.85,4.31,4.02,47.47,24.69,0.08,0,12.25,0,0,11.48,1.51,17.82,9.27,0.03,0,4.6,0,0,4.31,37.54,-0.57,0.38,23.3,6.51,0.33,0.38,0.05,630.79,0.33,16.79,3.48,0,0,3.03,0,0,0.05,23.68,49133.223
2002,Denmark,3.31,6.47,1.68,0.42,3.31,2.89,0.27,4.79,0.45,0.01,0,1.23,0.14,0,2.89,37.03,6.89,17.37,82.64,35.94,4.89,17.37,12.48,6.79,32.31,14.05,1.91,6.79,4.88,4.81,46.7,24.53,0.08,0,11.41,0,0,12.48,1.88,18.26,9.59,0.03,0,4.46,0,0,4.88,39.1,-2.07,0.47,23.72,6.53,0.41,0.47,0.06,618.67,0.41,17.19,3.6,0,0,2.93,0,0,0.06,24.19,49204.9
2003,Denmark,3.64,6.81,2.02,0.52,3.64,3.12,0.37,4.79,0.79,0.01,0,1.23,0.14,0,3.12,37.42,6.93,17.55,82.45,27.39,5.46,17.55,12.09,8.07,37.9,12.59,2.51,8.07,5.56,5.42,55.06,21.23,0.04,0,6.16,0,0,12.09,2.49,25.31,9.76,0.02,0,2.83,0,0,5.56,45.97,-8.55,0.61,29.34,5.52,0.54,0.61,0.07,651.51,0.54,23.82,3.66,0,0,1.86,0,0,0.07,29.95,49262.645
2004,Denmark,3.83,6.74,2.02,0.71,3.83,3.12,0.54,4.72,0.79,0.01,0,1.23,0.16,0,3.12,37.37,6.9,23.68,76.32,29.92,7.3,23.68,16.38,9.53,30.71,12.04,2.94,9.53,6.59,7.23,46.4,24.7,0.07,0,5.22,0,0,16.38,2.91,18.67,9.94,0.03,0,2.1,0,0,6.59,40.24,-2.87,0.71,22.68,5.11,0.63,0.71,0.08,581.26,0.63,17.57,3.73,0,0,1.38,0,0,0.08,23.39,50446.543
2005,Denmark,3.94,6.76,2.04,0.81,3.94,3.13,0.65,4.72,0.81,0.01,0,1.23,0.15,0,3.13,37.45,6.89,27.17,72.83,29.98,8.85,27.17,18.32,9.8,26.28,10.82,3.19,9.8,6.61,8.79,42.85,24.33,0.06,0,5.65,0,0,18.32,3.17,15.46,8.78,0.02,0,2.04,0,0,6.61,36.08,1.37,0.77,19.17,4.63,0.69,0.77,0.08,552.66,0.69,14.54,3.29,0,0,1.34,0,0,0.08,19.94,51483.273
2006,Denmark,3.82,6.76,2.04,0.68,3.82,3.14,0.52,4.72,0.81,0.01,0,1.23,0.15,0,3.14,38.51,7.06,20.22,79.78,25.71,6.8,20.22,13.42,9.19,36.25,11.68,3.09,9.19,6.1,6.76,54.07,20.69,0.04,0,5.02,0,0,13.42,3.07,24.57,9.4,0.02,0,2.28,0,0,6.1,45.44,-6.93,0.74,28.13,5.02,0.66,0.74,0.08,635.34,0.66,23.11,3.52,0,0,1.5,0,0,0.08,28.87,53322.29
2007,Denmark,3.64,6.76,2.04,0.52,3.64,3.12,0.39,4.72,0.81,0.01,0,1.23,0.12,0,3.12,38.19,6.97,26.32,73.69,22.87,8,26.32,18.32,10.3,28.84,8.95,3.13,10.3,7.17,7.92,50.82,17.99,0.08,0,4.88,0,0,18.32,3.1,19.89,7.04,0.03,0,1.91,0,0,7.17,39.14,-0.95,0.76,22.61,3.9,0.67,0.76,0.09,597.09,0.67,18.71,2.64,0,0,1.26,0,0,0.09,23.37,53569.027
2008,Denmark,3.95,6.79,2.07,0.79,3.95,3.16,0.63,4.72,0.84,0.01,0,1.23,0.15,0,3.16,37.93,6.89,27.69,72.31,24.45,8.69,27.69,19,10.1,26.38,8.92,3.17,10.1,6.93,8.61,47.86,19.41,0.08,0,5.04,0,0,19,3.14,17.46,7.08,0.03,0,1.84,0,0,6.93,36.48,1.45,0.77,20.29,3.86,0.68,0.77,0.09,577.3,0.68,16.43,2.65,0,0,1.21,0,0,0.09,21.06,52982.53
2009,Denmark,4.43,6.6,2.07,0.95,4.43,3.48,0.78,4.53,0.84,0.01,0,1.23,0.16,0,3.48,36.58,6.62,27.79,72.22,23.42,9.22,27.79,18.57,10.07,26.18,8.49,3.34,10.07,6.73,9.16,48.8,18.4,0.06,0,5.02,0,0,18.57,3.32,17.69,6.67,0.02,0,1.82,0,0,6.73,36.25,0.33,0.8,20.33,3.7,0.72,0.8,0.08,582.9,0.72,16.63,2.5,0,0,1.2,0,0,0.08,21.13,50114.05
2010,Denmark,4.92,6.27,2.07,1.11,4.92,3.81,0.95,4.2,0.84,0.01,0,1.23,0.15,0.01,3.8,37.61,6.78,32.08,67.92,24.02,11.9,32.08,20.18,12.43,26.32,9.31,4.61,12.43,7.82,11.85,43.9,20.41,0.05,0,3.61,0,0.03,20.15,4.59,17.01,7.91,0.02,0,1.4,0,0.01,7.81,38.75,-1.14,1.09,19.85,3.89,0.99,1.09,0.1,540.39,0.99,15.96,2.97,0,0,0.92,0,0,0.1,20.94,50825.414
2011,Denmark,5.13,6.27,2.07,1.16,5.13,3.97,1,4.2,0.84,0.01,0,1.23,0.15,0.02,3.95,36.43,6.53,40.37,59.64,19.82,12.51,40.37,27.86,14.17,20.94,6.96,4.39,14.17,9.78,12.45,39.82,16.63,0.06,0,3.19,0,0.03,27.83,4.37,13.98,5.84,0.02,0,1.12,0,0.01,9.77,35.11,1.32,1.06,16.02,2.93,0.94,1.06,0.12,486.47,0.94,13.09,2.19,0,0,0.74,0,0,0.12,17.08,51293.207
2012,Denmark,5.95,6.01,2.07,1.39,5.95,4.56,1.24,3.94,0.84,0.01,0,1.23,0.14,0.4,4.16,35.78,6.39,48.56,51.46,16.98,14.63,48.56,33.93,14.84,15.73,5.19,4.47,14.84,10.37,14.56,34.48,13.71,0.07,0,3.27,0,0.33,33.6,4.45,10.54,4.19,0.02,0,1,0,0.1,10.27,30.57,5.21,1.09,12.09,2.23,0.96,1.09,0.13,431.14,0.96,9.86,1.57,0,0,0.66,0,0,0.13,13.18,51216.31
2013,Denmark,6.59,6.01,2.07,1.2,6.59,5.39,1.02,3.94,0.84,0.01,0,1.23,0.17,0.57,4.82,35.69,6.34,46.11,53.89,12.6,12.48,46.11,33.63,15.96,18.65,4.36,4.32,15.96,11.64,12.45,41.29,9.88,0.03,0,2.72,0,1.5,32.13,4.31,14.29,3.42,0.01,0,0.94,0,0.52,11.12,34.61,1.08,1.09,15.26,1.9,0.93,1.09,0.16,472.41,0.93,13.36,1.28,0,0,0.62,0,0.02,0.14,16.35,51479.266
2014,Denmark,6.76,5.7,2.07,1.26,6.76,5.5,1.09,3.63,0.84,0.01,0,1.23,0.16,0.61,4.89,34.89,6.18,56.14,43.85,9.33,13.45,56.14,42.69,17.99,14.05,2.99,4.31,17.99,13.68,13.39,34.52,6.55,0.06,0,2.78,0,1.87,40.82,4.29,11.06,2.1,0.02,0,0.89,0,0.6,13.08,32.04,2.85,1.13,11.71,1.38,0.93,1.13,0.2,400.75,0.93,10.33,0.79,0,0,0.59,0,0.03,0.17,12.84,52048.336
2015,Denmark,7.12,5.7,2.07,1.26,7.12,5.86,1.08,3.63,0.84,0.01,0,1.23,0.17,0.78,5.08,34.69,6.11,65.77,34.22,9.52,14.59,65.77,51.18,18.93,9.85,2.74,4.2,18.93,14.73,14.52,24.7,6.32,0.07,0,3.2,0,2.08,49.1,4.18,7.11,1.82,0.02,0,0.92,0,0.6,14.13,28.78,5.91,1.11,7.92,1.29,0.9,1.11,0.21,313.76,0.9,6.63,0.68,0,0,0.61,0,0.03,0.18,9.03,52892.645
2016,Denmark,7.42,4.95,2.07,1.32,7.42,6.1,1.14,2.88,0.84,0.01,0,1.23,0.17,0.85,5.25,35.46,6.21,60.49,39.5,10.32,16.02,60.49,44.47,18.39,12.01,3.14,4.87,18.39,13.52,15.95,29.18,7.43,0.07,0,2.89,0,2.43,42.04,4.85,8.87,2.26,0.02,0,0.88,0,0.74,12.78,30.4,5.06,1.25,9.72,1.43,1.05,1.25,0.2,360.86,1.05,8.29,0.85,0,0,0.58,0,0.04,0.16,10.97,54185.008
2017,Denmark,8.2,4.95,2.07,1.8,8.2,6.4,1.61,2.88,0.84,0.01,0,1.23,0.18,0.91,5.49,35.46,6.18,70.55,29.46,9.36,20.29,70.55,50.26,21.8,9.1,2.89,6.27,21.8,15.53,20.23,20.1,6.54,0.06,0,2.82,0,2.43,47.83,6.25,6.21,2.02,0.02,0,0.87,0,0.75,14.78,30.9,4.56,1.58,7.16,1.33,1.35,1.58,0.23,282.85,1.35,5.83,0.76,0,0,0.57,0,0.04,0.19,8.74,55356.68
2018,Denmark,8.9,4.95,2.07,1.78,8.9,7.12,1.59,2.88,0.84,0.01,0,1.23,0.18,1,6.12,35.43,6.14,68.68,31.31,9.56,19.53,68.68,49.15,20.75,9.46,2.89,5.9,20.75,14.85,19.5,21.75,6.85,0.03,0,2.71,0,3.14,46.01,5.89,6.57,2.07,0.01,0,0.82,0,0.95,13.9,30.21,5.22,1.49,7.48,1.32,1.27,1.49,0.22,296.92,1.27,6.16,0.78,0,0,0.54,0,0.05,0.17,8.97,56178.773
